Author1	Author2	n
Brewer N	Deng Y	0
Brewer N	Dotti G	0
Brewer N	Graham R	0
Brewer N	Hoadley K	0
Brewer N	Huang L	0
Brewer N	Lazear H	0
Brewer N	Leist S	0
Brewer N	McCorvy J	0
Brewer N	Perou C	0
Brewer N	Popkin B	0
Brewer N	Reeve B	0
Brewer N	Ribisl K	43
Brewer N	Savoldo B	0
Brewer N	Schafer A	0
Brewer N	Sheahan T	0
Brewer N	Shen D	0
Brewer N	Sims A	0
Brewer N	Sullivan P	0
Brewer N	Wang Q	0
Brewer N	Wei H	0
Brewer N	You W	0
Deng Y	Brewer N	0
Deng Y	Dotti G	0
Deng Y	Graham R	0
Deng Y	Hoadley K	0
Deng Y	Huang L	0
Deng Y	Lazear H	0
Deng Y	Leist S	0
Deng Y	McCorvy J	0
Deng Y	Perou C	0
Deng Y	Popkin B	0
Deng Y	Reeve B	0
Deng Y	Ribisl K	0
Deng Y	Savoldo B	0
Deng Y	Schafer A	0
Deng Y	Sheahan T	0
Deng Y	Shen D	0
Deng Y	Sims A	0
Deng Y	Sullivan P	0
Deng Y	Wang Q	5
Deng Y	Wei H	6
Deng Y	You W	0
Dotti G	Brewer N	0
Dotti G	Deng Y	0
Dotti G	Graham R	0
Dotti G	Hoadley K	0
Dotti G	Huang L	1
Dotti G	Lazear H	0
Dotti G	Leist S	0
Dotti G	McCorvy J	0
Dotti G	Perou C	0
Dotti G	Popkin B	0
Dotti G	Reeve B	0
Dotti G	Ribisl K	0
Dotti G	Savoldo B	33
Dotti G	Schafer A	0
Dotti G	Sheahan T	0
Dotti G	Shen D	0
Dotti G	Sims A	0
Dotti G	Sullivan P	0
Dotti G	Wang Q	0
Dotti G	Wei H	0
Dotti G	You W	0
Graham R	Brewer N	0
Graham R	Deng Y	0
Graham R	Dotti G	0
Graham R	Hoadley K	0
Graham R	Huang L	0
Graham R	Lazear H	0
Graham R	Leist S	8
Graham R	McCorvy J	0
Graham R	Perou C	0
Graham R	Popkin B	0
Graham R	Reeve B	0
Graham R	Ribisl K	0
Graham R	Savoldo B	0
Graham R	Schafer A	4
Graham R	Sheahan T	7
Graham R	Shen D	0
Graham R	Sims A	8
Graham R	Sullivan P	0
Graham R	Wang Q	0
Graham R	Wei H	0
Graham R	You W	0
Hoadley K	Brewer N	0
Hoadley K	Deng Y	0
Hoadley K	Dotti G	0
Hoadley K	Graham R	0
Hoadley K	Huang L	0
Hoadley K	Lazear H	0
Hoadley K	Leist S	0
Hoadley K	McCorvy J	0
Hoadley K	Perou C	44
Hoadley K	Popkin B	0
Hoadley K	Reeve B	0
Hoadley K	Ribisl K	0
Hoadley K	Savoldo B	0
Hoadley K	Schafer A	0
Hoadley K	Sheahan T	0
Hoadley K	Shen D	0
Hoadley K	Sims A	0
Hoadley K	Sullivan P	0
Hoadley K	Wang Q	0
Hoadley K	Wei H	0
Hoadley K	You W	0
Huang L	Brewer N	0
Huang L	Deng Y	0
Huang L	Dotti G	1
Huang L	Graham R	0
Huang L	Hoadley K	0
Huang L	Lazear H	0
Huang L	Leist S	0
Huang L	McCorvy J	0
Huang L	Perou C	0
Huang L	Popkin B	0
Huang L	Reeve B	0
Huang L	Ribisl K	0
Huang L	Savoldo B	0
Huang L	Schafer A	0
Huang L	Sheahan T	0
Huang L	Shen D	1
Huang L	Sims A	0
Huang L	Sullivan P	0
Huang L	Wang Q	1
Huang L	Wei H	0
Huang L	You W	0
Lazear H	Brewer N	0
Lazear H	Deng Y	0
Lazear H	Dotti G	0
Lazear H	Graham R	0
Lazear H	Hoadley K	0
Lazear H	Huang L	0
Lazear H	Leist S	0
Lazear H	McCorvy J	0
Lazear H	Perou C	0
Lazear H	Popkin B	0
Lazear H	Reeve B	0
Lazear H	Ribisl K	0
Lazear H	Savoldo B	0
Lazear H	Schafer A	0
Lazear H	Sheahan T	0
Lazear H	Shen D	0
Lazear H	Sims A	0
Lazear H	Sullivan P	0
Lazear H	Wang Q	0
Lazear H	Wei H	0
Lazear H	You W	0
Leist S	Brewer N	0
Leist S	Deng Y	0
Leist S	Dotti G	0
Leist S	Graham R	8
Leist S	Hoadley K	0
Leist S	Huang L	0
Leist S	Lazear H	0
Leist S	McCorvy J	0
Leist S	Perou C	0
Leist S	Popkin B	0
Leist S	Reeve B	0
Leist S	Ribisl K	0
Leist S	Savoldo B	0
Leist S	Schafer A	36
Leist S	Sheahan T	16
Leist S	Shen D	0
Leist S	Sims A	5
Leist S	Sullivan P	0
Leist S	Wang Q	0
Leist S	Wei H	0
Leist S	You W	0
McCorvy J	Brewer N	0
McCorvy J	Deng Y	0
McCorvy J	Dotti G	0
McCorvy J	Graham R	0
McCorvy J	Hoadley K	0
McCorvy J	Huang L	0
McCorvy J	Lazear H	0
McCorvy J	Leist S	0
McCorvy J	Perou C	0
McCorvy J	Popkin B	0
McCorvy J	Reeve B	0
McCorvy J	Ribisl K	0
McCorvy J	Savoldo B	0
McCorvy J	Schafer A	0
McCorvy J	Sheahan T	0
McCorvy J	Shen D	0
McCorvy J	Sims A	0
McCorvy J	Sullivan P	0
McCorvy J	Wang Q	0
McCorvy J	Wei H	0
McCorvy J	You W	0
Perou C	Brewer N	0
Perou C	Deng Y	0
Perou C	Dotti G	0
Perou C	Graham R	0
Perou C	Hoadley K	44
