query	pmid	title	journal	pubdate
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	35728932	Terms tobacco users employ to describe e-cigarette aerosol.	Tobacco control	2022
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	34906881	The impact of cigarette pack anti-littering messages.	Addictive behaviors	2022
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	34194959	Message perceptions and effects perceptions as proxies for behavioral impact in the context of anti-smoking messages.	Preventive medicine reports	2021
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	33188150	Reactions to messages about smoking, vaping and COVID-19: two national experiments.	Tobacco control	2022
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	32519300	Incremental criterion validity of message perceptions and effects perceptions in the context of anti-smoking messages.	Journal of behavioral medicine	2021
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	31867657	Reducing Nicotine Without Misleading the Public: Descriptions of Cigarette Nicotine Level and Accuracy of Perceptions About Nicotine Content, Addictiveness, and Risk.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2019
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	31867641	Interest in Illicit Purchase of Cigarettes Under a Very Low Nicotine Content Product Standard.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2019
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	31593586	E-Cigarette Health Harm Awareness and Discouragement: Implications for Health Communication.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2020
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	31292169	Impact of e-cigarette health warnings on motivation to vape and smoke.	Tobacco control	2019
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	30852611	Public Understanding of Cigarette Smoke Chemicals: Longitudinal Study of US Adults and Adolescents.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2020
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	30340152	Conversations about pictorial cigarette pack warnings: Theoretical mechanisms of influence.	Social science & medicine (1982)	2018
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	30321252	UNC Perceived Message Effectiveness: Validation of a Brief Scale.	Annals of behavioral medicine : a publication of the Society of Behavioral Medicine	2019
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	30158212	Impact of modified risk tobacco product claims on beliefs of US adults and adolescents.	Tobacco control	2018
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	29975497	Effects of Strengthening Cigarette Pack Warnings on Attention and Message Processing: A Systematic Review.	Journalism & mass communication quarterly	2017
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	29850764	Understanding Why Pictorial Cigarette Pack Warnings Increase Quit Attempts.	Annals of behavioral medicine : a publication of the Society of Behavioral Medicine	2019
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	29654122	Cigarette pack messages about toxic chemicals: a randomised clinical trial.	Tobacco control	2019
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	29411272	Public support for pictorial warnings on cigarette packs: an experimental study of US smokers.	Journal of behavioral medicine	2018
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	29324749	Brand switching and toxic chemicals in cigarette smoke: A national study.	PloS one	2018
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	29248897	Negative affect, message reactance and perceived risk: how do pictorial cigarette pack warnings change quit intentions?	Tobacco control	2018
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	29059415	Frequency and Content of Conversations About Pictorial Warnings on Cigarette Packs.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2018
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	28931386	Erratum to: understanding how perceptions of tobacco constituents and the FDA relate to effective and credible tobacco risk messaging: a national phone survey of U.S. adults, 2014-2015.	BMC public health	2017
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	28890353	Identifying principles for effective messages about chemicals in cigarette smoke.	Preventive medicine	2018
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	28521063	Effective Message Elements for Disclosures About Chemicals in Cigarette Smoke.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2018
(Brewer Noel [AUTH] University of North Carolina [AFFL] OR Brewer N [AUTH] University of North Carolina [AFFL]) AND (Ribisl Kurt [AUTH] University of North Carolina [AFFL] OR Ribisl K [AUTH] University of North Carolina [AFFL])	28431080	Systematic Review of Measures Used in Pictorial Cigarette Pack Warning Experiments.	Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco	2017
